(0.35249147722080787, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.0019471989003118102, -0.0034217271178893192, -0.0006933715002961291]])
(0.3523855160980439, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.002075248949241053, -0.003135138513524295, -0.00044335659227759394]])
(0.3522965625142707, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.0021746544614072035, -0.0029099243332925857, -0.0002574116437108753]])
(0.35222077054801765, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.0022499218097377085, -0.0027250231846978022, -0.0001202588815593375]])
(0.3521553977145787, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.002310052385524292, -0.0025784518182388264, -1.5326866148947238e-05]])
(0.3520984556126888, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.002357366902186867, -0.002458230374231884, 6.431713214211793e-05]])
(0.35204846057605643, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.0023946962142107333, -0.0023584446922254483, 0.0001250083316530759]])
(0.35200428129916833, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.0024241944255720517, -0.002274738010999304, 0.00017138365725560128]])
(0.3519650370632649, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.0024475202775374174, -0.0022038553502516482, 0.00020687276272172983]])
(0.35193002631493836, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.002468201659589089, -0.002145320602189211, 0.00023607249026388888]])
(0.3518986899091975, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.00248180080223598, -0.002091952964865206, 0.0002563585312914951]])
(0.35187055976561915, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.0024921310351302553, -0.0020454983880130867, 0.0002716340254661567]])
(0.3518452492980749, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.002499895392685734, -0.0020048789885184423, 0.0002830478456756491]])
(0.3518224323581568, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.0025056999706242087, -0.001969280171648234, 0.0002915000055684555]])
(0.35180183130068265, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.0025100734372890043, -0.0019380838650858538, 0.0002977024152549246]])
